person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,faixa_etaria
21996,RENT,0.0,MEDICAL,B,2500,11.89,0,0.11,N,2,20-29
22000,RENT,4.0,DEBTCONSOLIDATION,A,2500,7.14,0,0.11,N,4,20-29
31200,MORTGAGE,2.0,DEBTCONSOLIDATION,A,1050,7.51,1,0.03,N,4,20-29
22000,RENT,0.0,VENTURE,A,2500,7.51,0,0.11,N,2,20-29
22000,RENT,0.0,DEBTCONSOLIDATION,B,2500,9.76,0,0.11,N,2,20-29
22200,RENT,2.0,PERSONAL,D,2500,16.29,1,0.11,N,4,20-29
22406,RENT,5.0,PERSONAL,A,2500,6.76,1,0.11,N,4,20-29
24000,RENT,0.0,EDUCATION,B,2500,11.71,0,0.1,N,2,20-29
31200,MORTGAGE,2.0,EDUCATION,D,1000,14.59,0,0.03,N,2,20-29
24000,RENT,1.0,MEDICAL,B,2500,10.74,0,0.1,N,3,20-29
31200,MORTGAGE,0.0,EDUCATION,E,4750,,1,0.15,N,2,20-29
31200,OWN,8.0,PERSONAL,B,10000,12.18,0,0.32,N,2,20-29
31200,MORTGAGE,6.0,VENTURE,A,3500,7.74,0,0.11,N,2,20-29
24960,RENT,0.0,VENTURE,A,2500,7.51,0,0.1,N,2,20-29
31200,MORTGAGE,2.0,EDUCATION,C,6700,14.26,0,0.21,Y,2,20-29
24996,RENT,8.0,VENTURE,C,2500,12.98,0,0.1,N,4,20-29
24996,RENT,0.0,MEDICAL,B,2500,10.99,1,0.1,N,3,20-29
25000,RENT,0.0,PERSONAL,A,2500,6.91,0,0.1,N,2,20-29
25000,RENT,5.0,MEDICAL,C,2500,13.48,0,0.1,Y,4,20-29
25000,RENT,0.0,DEBTCONSOLIDATION,B,2500,11.14,0,0.1,N,3,20-29
31215,OWN,,EDUCATION,B,14000,9.91,0,0.45,N,3,20-29
31303,MORTGAGE,7.0,MEDICAL,A,12000,,0,0.38,N,2,20-29
31356,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11225,,1,0.36,Y,2,20-29
26400,RENT,,EDUCATION,B,2500,10.62,0,0.09,N,2,20-29
26940,RENT,1.0,EDUCATION,A,2500,5.42,0,0.09,N,4,20-29
27000,RENT,0.0,EDUCATION,C,2500,13.61,0,0.09,N,4,20-29
27024,RENT,7.0,EDUCATION,E,2500,16.69,0,0.09,N,2,20-29
31500,MORTGAGE,,EDUCATION,A,8250,7.51,0,0.26,N,4,20-29
27200,RENT,4.0,DEBTCONSOLIDATION,C,2500,13.49,0,0.09,N,4,20-29
31500,MORTGAGE,2.0,VENTURE,A,14000,8.9,0,0.44,N,3,20-29
31500,OWN,,VENTURE,A,8000,6.03,0,0.25,N,2,20-29
28200,RENT,2.0,DEBTCONSOLIDATION,D,2500,16.77,1,0.09,Y,2,20-29
28500,RENT,3.0,DEBTCONSOLIDATION,B,2500,11.36,0,0.09,N,4,20-29
29000,RENT,4.0,PERSONAL,B,2500,10.99,0,0.09,N,3,20-29
29000,RENT,2.0,VENTURE,C,2500,12.84,1,0.09,N,3,20-29
30000,RENT,7.0,MEDICAL,B,2500,9.88,0,0.08,N,2,20-29
31500,MORTGAGE,3.0,VENTURE,B,4500,9.88,0,0.14,N,2,20-29
31000,RENT,1.0,EDUCATION,D,2500,14.54,1,0.08,Y,3,20-29
31200,RENT,4.0,VENTURE,B,2500,10.37,0,0.08,N,3,20-29
31544,MORTGAGE,,MEDICAL,A,2200,7.9,0,0.07,N,2,20-29
31577,OWN,6.0,EDUCATION,A,2500,6.92,0,0.08,N,4,20-29
32000,RENT,1.0,VENTURE,A,2500,7.4,0,0.08,N,3,20-29
33000,RENT,6.0,DEBTCONSOLIDATION,B,2500,10.59,0,0.08,N,2,20-29
33448,RENT,2.0,EDUCATION,C,2500,11.66,0,0.07,Y,2,20-29
33500,RENT,2.0,EDUCATION,E,2500,15.68,1,0.07,Y,4,20-29
34368,RENT,0.0,DEBTCONSOLIDATION,C,2500,12.87,0,0.07,Y,2,20-29
31776,MORTGAGE,5.0,VENTURE,A,6000,8.9,0,0.19,N,3,20-29
34800,RENT,7.0,EDUCATION,A,2500,6.39,0,0.07,N,2,20-29
35000,RENT,2.0,MEDICAL,A,2500,8.9,0,0.07,N,3,20-29
35000,RENT,0.0,DEBTCONSOLIDATION,A,2500,7.51,0,0.07,N,2,20-29
29000,RENT,2.0,MEDICAL,D,2500,,1,0.09,N,4,20-29
30000,RENT,2.0,EDUCATION,A,2500,8.49,1,0.08,N,2,20-29
30000,RENT,3.0,DEBTCONSOLIDATION,A,2500,7.14,1,0.08,N,4,20-29
30000,RENT,0.0,EDUCATION,C,2500,13.16,1,0.08,Y,4,20-29
31920,MORTGAGE,8.0,MEDICAL,C,4500,,0,0.14,Y,2,20-29
37000,RENT,2.0,VENTURE,A,2500,7.14,0,0.07,N,3,20-29
37225,RENT,4.0,PERSONAL,C,2500,,0,0.07,N,3,20-29
31992,OTHER,0.0,VENTURE,A,6500,,0,0.2,N,4,20-29
32000,RENT,1.0,MEDICAL,E,2500,16.45,1,0.08,Y,2,20-29
38060,RENT,9.0,DEBTCONSOLIDATION,B,2500,12.53,0,0.07,N,2,20-29
39200,RENT,1.0,EDUCATION,A,2500,7.74,0,0.06,N,3,20-29
32000,MORTGAGE,7.0,EDUCATION,B,10000,11.71,0,0.31,N,2,20-29
40000,RENT,6.0,PERSONAL,C,2500,15.27,0,0.06,N,3,20-29
40000,RENT,3.0,MEDICAL,B,2500,9.99,0,0.06,N,3,20-29
40000,RENT,0.0,DEBTCONSOLIDATION,B,2500,,0,0.06,N,2,20-29
32000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,5600,7.9,0,0.17,N,3,20-29
34000,RENT,2.0,HOMEIMPROVEMENT,C,2500,13.57,1,0.07,Y,3,20-29
35500,RENT,6.0,MEDICAL,D,2500,15.62,1,0.07,N,2,20-29
36000,RENT,2.0,HOMEIMPROVEMENT,D,2500,16.77,1,0.07,N,3,20-29
42000,RENT,5.0,MEDICAL,B,2500,9.99,0,0.06,N,2,20-29
32000,MORTGAGE,0.0,EDUCATION,A,1700,7.9,0,0.05,N,4,20-29
42000,RENT,0.0,EDUCATION,B,2500,11.49,0,0.06,N,2,20-29
42000,RENT,4.0,EDUCATION,C,2500,13.61,0,0.06,N,4,20-29
42000,RENT,0.0,VENTURE,C,2500,13.92,0,0.06,Y,3,20-29
36228,RENT,4.0,MEDICAL,A,2500,7.66,1,0.07,N,2,20-29
32000,MORTGAGE,4.0,PERSONAL,B,2500,11.71,1,0.08,N,3,20-29
42500,RENT,0.0,DEBTCONSOLIDATION,B,2500,,0,0.06,N,2,20-29
43000,RENT,3.0,EDUCATION,C,2500,13.49,0,0.06,N,2,20-29
37000,RENT,2.0,HOMEIMPROVEMENT,D,2500,17.49,1,0.07,N,3,20-29
45000,RENT,5.0,MEDICAL,B,2500,12.69,0,0.06,N,4,20-29
32000,MORTGAGE,,MEDICAL,A,8000,5.99,0,0.25,N,3,20-29
32000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,6000,5.42,0,0.19,N,4,20-29
32000,MORTGAGE,4.0,EDUCATION,A,2000,5.99,0,0.06,N,2,20-29
45000,RENT,5.0,MEDICAL,C,2500,14.35,0,0.06,Y,2,20-29
46000,RENT,10.0,DEBTCONSOLIDATION,A,2500,8.49,0,0.05,N,4,20-29
46500,RENT,1.0,DEBTCONSOLIDATION,C,2500,14.72,0,0.05,Y,3,20-29
47004,RENT,9.0,MEDICAL,D,2500,15.65,0,0.05,Y,3,20-29
32000,MORTGAGE,3.0,EDUCATION,A,6000,8.49,0,0.19,N,2,20-29
48000,RENT,4.0,EDUCATION,C,2500,13.35,0,0.05,N,4,20-29
49500,RENT,7.0,MEDICAL,C,2500,14.27,0,0.05,Y,2,20-29
32000,MORTGAGE,4.0,EDUCATION,A,4900,5.99,0,0.15,N,3,20-29
45630,RENT,0.0,EDUCATION,E,2500,18.64,1,0.05,N,2,20-29
51873,RENT,2.0,VENTURE,A,2500,,0,0.05,N,3,20-29
32000,MORTGAGE,,EDUCATION,A,11050,7.49,0,0.35,N,2,20-29
52000,RENT,6.0,DEBTCONSOLIDATION,C,2500,14.82,0,0.05,Y,2,20-29
46180,RENT,1.0,VENTURE,C,2500,13.98,1,0.05,Y,3,20-29
54000,RENT,4.0,PERSONAL,C,2500,13.98,0,0.05,N,2,20-29
54000,RENT,7.0,EDUCATION,D,2500,16.32,0,0.05,Y,2,20-29
32000,MORTGAGE,3.0,PERSONAL,B,15000,11.11,0,0.47,N,4,20-29
54996,RENT,6.0,DEBTCONSOLIDATION,C,2500,14.35,0,0.05,Y,4,20-29
48996,RENT,8.0,DEBTCONSOLIDATION,D,2500,14.59,1,0.05,N,2,20-29
55000,RENT,4.0,PERSONAL,A,2500,7.88,0,0.05,N,2,20-29
55000,RENT,5.0,EDUCATION,B,2500,,0,0.05,N,4,20-29
49000,RENT,1.0,DEBTCONSOLIDATION,F,2500,,1,0.05,N,2,20-29
57600,RENT,8.0,EDUCATION,C,2500,14.72,0,0.04,Y,3,20-29
32000,MORTGAGE,7.0,PERSONAL,B,3250,10.74,1,0.1,N,2,20-29
59000,RENT,7.0,PERSONAL,D,2500,14.96,0,0.04,N,2,20-29
60000,RENT,5.0,DEBTCONSOLIDATION,C,2500,,0,0.04,Y,4,20-29
60000,RENT,9.0,PERSONAL,A,2500,8.63,0,0.04,N,3,20-29
61000,RENT,3.0,DEBTCONSOLIDATION,A,2500,7.49,0,0.04,N,3,20-29
32000,MORTGAGE,7.0,VENTURE,C,4800,12.61,0,0.15,Y,3,20-29
32000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,6250,11.49,0,0.2,N,3,20-29
63000,RENT,7.0,EDUCATION,C,2500,14.72,0,0.04,N,2,20-29
64000,RENT,3.0,MEDICAL,B,2500,10.99,0,0.04,N,3,20-29
65004,RENT,10.0,MEDICAL,B,2500,10.08,0,0.04,N,2,20-29
69996,RENT,3.0,DEBTCONSOLIDATION,B,2500,12.53,0,0.04,N,3,20-29
32000,MORTGAGE,4.0,VENTURE,B,3000,10.75,0,0.09,N,4,20-29
54400,RENT,6.0,MEDICAL,D,2500,16.49,1,0.04,Y,3,20-29
32000,MORTGAGE,7.0,VENTURE,A,4500,6.76,0,0.14,N,2,20-29
64000,RENT,4.0,HOMEIMPROVEMENT,B,2500,11.14,1,0.04,N,3,20-29
70082,RENT,5.0,VENTURE,C,2500,12.61,0,0.04,N,4,20-29
79800,RENT,8.0,HOMEIMPROVEMENT,B,2500,9.62,0,0.03,N,2,20-29
82400,RENT,10.0,VENTURE,C,2500,13.92,0,0.03,N,3,20-29
85000,RENT,1.0,EDUCATION,A,2500,8.59,0,0.03,N,2,20-29
92500,RENT,6.0,VENTURE,B,2500,10.74,0,0.03,N,3,20-29
32000,MORTGAGE,6.0,EDUCATION,A,12250,8.94,0,0.38,N,4,20-29
112995,RENT,7.0,VENTURE,A,2500,7.37,0,0.02,N,3,20-29
121000,RENT,2.0,EDUCATION,A,2500,7.66,0,0.02,N,4,20-29
200004,RENT,7.0,MEDICAL,C,2500,13.61,0,0.01,Y,2,20-29
10560,RENT,0.0,DEBTCONSOLIDATION,B,2800,9.99,1,0.27,N,4,20-29
13000,RENT,3.0,PERSONAL,D,2800,15.21,1,0.22,Y,2,20-29
13380,RENT,0.0,PERSONAL,D,2800,14.61,1,0.21,Y,2,20-29
14400,RENT,5.0,VENTURE,A,2800,6.54,1,0.19,N,3,20-29
32000,MORTGAGE,0.0,VENTURE,A,6950,7.74,0,0.22,N,3,20-29
14800,RENT,5.0,DEBTCONSOLIDATION,A,2800,8.0,1,0.19,N,3,20-29
15000,RENT,1.0,EDUCATION,D,2800,15.31,1,0.19,Y,4,20-29
32000,MORTGAGE,4.0,VENTURE,A,1200,7.68,0,0.04,N,4,20-29
15600,RENT,0.0,MEDICAL,A,2800,7.4,1,0.18,N,4,20-29
32000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,15000,11.58,0,0.47,N,4,20-29
20800,RENT,0.0,HOMEIMPROVEMENT,D,2800,15.21,1,0.13,Y,4,20-29
32000,OWN,3.0,PERSONAL,E,4500,16.0,0,0.14,N,4,20-29
21168,RENT,3.0,VENTURE,C,2800,14.22,0,0.13,Y,4,20-29
23000,RENT,1.0,MEDICAL,F,2800,21.74,1,0.12,N,4,20-29
23760,RENT,2.0,DEBTCONSOLIDATION,B,2800,,0,0.12,N,2,20-29
24000,RENT,2.0,MEDICAL,B,2800,11.49,1,0.12,N,4,20-29
32000,MORTGAGE,1.0,DEBTCONSOLIDATION,C,8000,13.16,0,0.25,N,2,20-29
32000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,4200,11.58,0,0.13,N,2,20-29
32000,MORTGAGE,1.0,HOMEIMPROVEMENT,A,2500,7.68,1,0.08,N,3,20-29
32000,MORTGAGE,2.0,MEDICAL,C,7500,,0,0.23,Y,3,20-29
26500,RENT,1.0,EDUCATION,C,2800,12.29,0,0.11,N,3,20-29
27000,RENT,3.0,MEDICAL,A,2800,7.51,1,0.1,N,3,20-29
32000,OWN,1.0,MEDICAL,B,1200,9.96,0,0.04,N,2,20-29
32000,MORTGAGE,0.0,HOMEIMPROVEMENT,D,2500,12.8,1,0.08,Y,3,20-29
28800,RENT,5.0,PERSONAL,B,2800,10.38,0,0.1,N,2,20-29
29376,RENT,1.0,EDUCATION,A,2800,7.43,0,0.1,N,4,20-29
30000,RENT,,VENTURE,C,2800,14.65,0,0.09,Y,3,20-29
19200,RENT,3.0,MEDICAL,C,2850,15.27,0,0.15,Y,4,20-29
32004,MORTGAGE,,MEDICAL,A,7200,5.42,0,0.22,N,4,20-29
32004,MORTGAGE,3.0,PERSONAL,A,22750,6.17,0,0.71,N,4,20-29
45000,RENT,3.0,MEDICAL,D,2850,11.86,0,0.06,N,2,20-29
32004,OWN,0.0,EDUCATION,E,9250,17.19,0,0.29,N,4,20-29
90000,RENT,5.0,VENTURE,A,2850,5.99,0,0.03,N,3,20-29
28000,RENT,2.0,VENTURE,C,2875,15.23,0,0.1,Y,3,20-29
36800,RENT,1.0,MEDICAL,C,2875,11.28,0,0.08,Y,4,20-29
32004,MORTGAGE,6.0,EDUCATION,A,10000,7.51,0,0.31,N,2,20-29
66000,RENT,0.0,DEBTCONSOLIDATION,A,2875,7.49,0,0.04,N,2,20-29
32004,MORTGAGE,5.0,VENTURE,C,14000,12.73,0,0.44,N,4,20-29
19000,RENT,0.0,PERSONAL,A,2900,8.0,0,0.15,N,2,20-29
31200,RENT,0.0,MEDICAL,B,2900,9.91,0,0.09,N,2,20-29
31500,RENT,3.0,DEBTCONSOLIDATION,D,2900,,1,0.09,N,4,20-29
50000,RENT,0.0,EDUCATION,A,2900,8.0,0,0.06,N,4,20-29
27000,RENT,5.0,PERSONAL,B,2925,10.71,0,0.11,N,4,20-29
32004,MORTGAGE,6.0,EDUCATION,B,10000,10.83,0,0.31,N,3,20-29
32004,OWN,0.0,EDUCATION,A,6600,9.07,0,0.21,N,3,20-29
25000,RENT,0.0,VENTURE,B,2975,9.96,0,0.12,N,2,20-29
49800,RENT,6.0,EDUCATION,A,2975,7.9,0,0.06,N,2,20-29
32112,MORTGAGE,4.0,PERSONAL,C,15000,13.98,0,0.47,N,3,20-29
10000,RENT,8.0,PERSONAL,A,3000,7.9,1,0.3,N,3,20-29
32198,MORTGAGE,3.0,EDUCATION,B,1000,10.95,0,0.03,N,2,20-29
12000,RENT,5.0,EDUCATION,A,3000,8.9,1,0.25,N,4,20-29
12000,RENT,0.0,VENTURE,A,3000,7.88,1,0.25,N,3,20-29
13200,RENT,0.0,DEBTCONSOLIDATION,C,3000,,1,0.23,N,3,20-29
32268,OWN,0.0,MEDICAL,A,8000,8.0,0,0.25,N,3,20-29
14000,RENT,4.0,VENTURE,A,3000,7.74,1,0.21,N,3,20-29
14400,RENT,2.0,MEDICAL,C,3000,13.43,1,0.21,Y,3,20-29
32352,MORTGAGE,6.0,HOMEIMPROVEMENT,C,1000,15.27,1,0.03,Y,2,20-29
14400,RENT,2.0,HOMEIMPROVEMENT,B,3000,9.63,1,0.21,N,2,20-29
32388,MORTGAGE,0.0,EDUCATION,B,6000,10.71,0,0.19,N,4,20-29
14400,RENT,1.0,VENTURE,B,3000,,1,0.21,N,2,20-29
15000,RENT,3.0,EDUCATION,B,3000,9.91,1,0.2,N,3,20-29
15000,RENT,2.0,VENTURE,A,3000,7.51,1,0.2,N,4,20-29
32400,MORTGAGE,6.0,VENTURE,B,4200,10.99,0,0.13,N,4,20-29
32400,MORTGAGE,9.0,PERSONAL,C,10000,13.99,0,0.31,Y,3,20-29
32400,MORTGAGE,,PERSONAL,A,5000,7.49,0,0.15,N,3,20-29
32400,MORTGAGE,2.0,DEBTCONSOLIDATION,A,4800,7.29,0,0.15,N,4,20-29
32400,MORTGAGE,6.0,EDUCATION,A,3625,6.92,0,0.11,N,3,20-29
16080,RENT,,DEBTCONSOLIDATION,D,3000,16.29,1,0.19,Y,2,20-29
32400,MORTGAGE,2.0,EDUCATION,A,10000,5.42,0,0.31,N,2,20-29
16320,RENT,0.0,HOMEIMPROVEMENT,C,3000,13.92,1,0.18,Y,4,20-29
17280,RENT,0.0,HOMEIMPROVEMENT,C,3000,,1,0.17,N,4,20-29
17400,RENT,0.0,EDUCATION,B,3000,11.83,1,0.17,N,4,20-29
17520,RENT,5.0,DEBTCONSOLIDATION,B,3000,10.37,1,0.17,N,4,20-29
17916,RENT,1.0,MEDICAL,A,3000,6.0,1,0.17,N,3,20-29
18000,RENT,1.0,HOMEIMPROVEMENT,B,3000,11.71,1,0.17,N,4,20-29
18000,RENT,0.0,DEBTCONSOLIDATION,A,3000,7.9,1,0.17,N,2,20-29
32400,MORTGAGE,1.0,DEBTCONSOLIDATION,A,5500,,0,0.17,N,2,20-29
32400,MORTGAGE,5.0,PERSONAL,E,5000,16.0,1,0.15,N,2,20-29
18000,RENT,5.0,PERSONAL,C,3000,15.27,1,0.17,Y,2,20-29
18000,RENT,1.0,HOMEIMPROVEMENT,D,3000,15.99,1,0.17,Y,2,20-29
18000,RENT,0.0,MEDICAL,C,3000,13.99,1,0.17,Y,4,20-29
32450,MORTGAGE,5.0,MEDICAL,A,3250,6.99,0,0.1,N,4,20-29
18000,RENT,3.0,DEBTCONSOLIDATION,B,3000,10.59,1,0.17,N,3,20-29
18000,RENT,4.0,PERSONAL,C,3000,13.06,1,0.17,N,2,20-29
18000,RENT,2.0,VENTURE,B,3000,,1,0.17,N,2,20-29
18000,RENT,1.0,PERSONAL,B,3000,11.86,1,0.17,N,2,20-29
32500,MORTGAGE,3.0,EDUCATION,A,12500,7.9,0,0.38,N,4,20-29
18008,RENT,1.0,MEDICAL,B,3000,9.7,1,0.17,N,2,20-29
32500,MORTGAGE,6.0,DEBTCONSOLIDATION,A,2500,6.99,0,0.08,N,3,20-29
18864,RENT,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.16,N,4,20-29
32500,MORTGAGE,5.0,DEBTCONSOLIDATION,B,14500,11.99,0,0.45,N,4,20-29
19000,RENT,5.0,VENTURE,C,3000,13.06,1,0.16,N,2,20-29
19200,RENT,3.0,VENTURE,C,3000,12.99,1,0.16,Y,2,20-29
19200,RENT,0.0,PERSONAL,B,3000,9.99,1,0.16,N,3,20-29
32500,MORTGAGE,6.0,MEDICAL,C,6600,12.73,0,0.2,N,4,20-29
32500,MORTGAGE,8.0,MEDICAL,C,3000,13.22,0,0.09,N,4,20-29
32500,MORTGAGE,0.0,HOMEIMPROVEMENT,A,3500,8.59,0,0.11,N,2,20-29
19200,RENT,0.0,PERSONAL,B,3000,10.99,1,0.16,N,2,20-29
19200,RENT,0.0,HOMEIMPROVEMENT,E,3000,,1,0.16,Y,3,20-29
20000,RENT,2.0,EDUCATION,C,3000,13.11,0,0.15,N,4,20-29
20004,RENT,2.0,EDUCATION,B,3000,10.37,0,0.15,N,3,20-29
20004,RENT,3.0,VENTURE,C,3000,,0,0.15,N,4,20-29
20800,RENT,0.0,DEBTCONSOLIDATION,B,3000,11.46,0,0.14,N,4,20-29
32760,MORTGAGE,6.0,VENTURE,B,6000,10.59,0,0.18,N,2,20-29
21000,RENT,3.0,PERSONAL,B,3000,10.59,0,0.14,N,2,20-29
21000,RENT,2.0,DEBTCONSOLIDATION,C,3000,12.68,0,0.14,Y,2,20-29
21600,RENT,2.0,EDUCATION,C,3000,13.49,0,0.14,N,3,20-29
32900,MORTGAGE,2.0,MEDICAL,B,3000,9.99,0,0.09,N,2,20-29
32968,OWN,6.0,EDUCATION,A,16500,8.9,0,0.5,N,4,20-29
22000,RENT,3.0,PERSONAL,B,3000,10.33,0,0.14,N,2,20-29
22800,RENT,3.0,MEDICAL,A,3000,6.62,0,0.13,N,3,20-29
23000,RENT,4.0,MEDICAL,A,3000,5.79,0,0.13,N,2,20-29
23000,RENT,0.0,EDUCATION,A,3000,8.0,0,0.13,N,3,20-29
33000,OWN,6.0,PERSONAL,B,12000,9.91,0,0.36,N,2,20-29
30000,RENT,2.0,EDUCATION,A,3000,6.03,0,0.1,N,3,20-29
30000,RENT,6.0,MEDICAL,B,3000,,0,0.1,N,4,20-29
30000,RENT,4.0,DEBTCONSOLIDATION,E,3000,19.29,1,0.1,Y,2,20-29
30000,RENT,2.0,PERSONAL,A,3000,7.49,0,0.1,N,3,20-29
33000,MORTGAGE,6.0,VENTURE,B,8875,10.65,0,0.27,N,4,20-29
30000,RENT,2.0,VENTURE,A,3000,7.49,0,0.1,N,2,20-29
30000,RENT,1.0,PERSONAL,B,3000,10.37,0,0.1,N,2,20-29
30000,RENT,0.0,MEDICAL,A,3000,5.79,0,0.1,N,3,20-29
30000,RENT,3.0,DEBTCONSOLIDATION,C,3000,12.98,0,0.1,N,3,20-29
30000,RENT,3.0,MEDICAL,D,3000,15.2,1,0.1,Y,2,20-29
30000,RENT,5.0,PERSONAL,B,3000,9.62,0,0.1,N,4,20-29
30000,RENT,3.0,PERSONAL,C,3000,13.61,0,0.1,N,2,20-29
30000,RENT,3.0,PERSONAL,B,3000,11.12,0,0.1,N,3,20-29
30000,RENT,4.0,EDUCATION,D,3000,16.32,0,0.1,Y,3,20-29
30000,RENT,8.0,MEDICAL,B,3000,11.86,0,0.1,N,4,20-29
30000,RENT,1.0,DEBTCONSOLIDATION,C,3000,13.98,1,0.1,Y,2,20-29
30000,RENT,4.0,MEDICAL,B,3000,,0,0.1,N,4,20-29
33000,OWN,,PERSONAL,A,2500,6.03,0,0.08,N,4,20-29
33000,MORTGAGE,6.0,EDUCATION,A,8000,6.62,0,0.24,N,4,20-29
33000,MORTGAGE,5.0,HOMEIMPROVEMENT,C,2000,14.27,1,0.06,N,4,20-29
30000,RENT,4.0,HOMEIMPROVEMENT,B,3000,12.21,1,0.1,N,4,20-29
30000,RENT,2.0,EDUCATION,B,3000,11.89,0,0.1,N,4,20-29
33000,MORTGAGE,9.0,MEDICAL,B,3000,11.99,0,0.09,N,2,20-29
30960,RENT,5.0,MEDICAL,D,3000,15.62,0,0.1,N,4,20-29
33000,MORTGAGE,9.0,VENTURE,A,5000,8.49,0,0.15,N,3,20-29
31131,RENT,0.0,MEDICAL,D,3000,13.36,1,0.1,Y,4,20-29
33000,OWN,,VENTURE,A,10150,8.49,0,0.31,N,2,20-29
31200,RENT,3.0,EDUCATION,B,3000,11.86,0,0.1,N,4,20-29
31200,RENT,2.0,EDUCATION,B,3000,11.89,0,0.1,N,2,20-29
31356,RENT,0.0,DEBTCONSOLIDATION,A,3000,7.68,0,0.1,N,4,20-29
33000,MORTGAGE,3.0,PERSONAL,D,8325,15.99,0,0.25,N,3,20-29
33000,MORTGAGE,3.0,PERSONAL,E,1250,19.29,0,0.04,N,4,20-29
33000,MORTGAGE,4.0,EDUCATION,A,8000,7.49,0,0.24,N,3,20-29
32000,RENT,3.0,DEBTCONSOLIDATION,A,3000,8.94,0,0.09,N,3,20-29
32000,RENT,4.0,MEDICAL,C,3000,12.29,0,0.09,Y,2,20-29
33000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,2050,13.49,1,0.06,N,2,20-29
32004,RENT,0.0,DEBTCONSOLIDATION,A,3000,9.32,0,0.09,N,2,20-29
32400,RENT,6.0,VENTURE,B,3000,10.0,0,0.09,N,2,20-29
32400,RENT,5.0,PERSONAL,E,3000,16.45,0,0.09,N,3,20-29
32640,RENT,7.0,VENTURE,B,3000,10.75,0,0.09,N,2,20-29
33000,RENT,7.0,MEDICAL,A,3000,5.99,0,0.09,N,4,20-29
33000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,12375,7.29,0,0.38,N,2,20-29
33000,RENT,3.0,VENTURE,A,3000,5.99,0,0.09,N,2,20-29
33000,RENT,6.0,PERSONAL,B,3000,10.95,0,0.09,N,4,20-29
33189,RENT,4.0,EDUCATION,B,3000,11.12,0,0.09,N,2,20-29
34008,RENT,5.0,VENTURE,B,3000,10.0,0,0.09,N,4,20-29
34500,RENT,3.0,DEBTCONSOLIDATION,B,3000,11.83,0,0.09,N,2,20-29
29000,RENT,9.0,MEDICAL,A,3000,6.62,1,0.1,N,2,20-29
35000,RENT,0.0,EDUCATION,B,3000,,0,0.09,N,2,20-29
35000,RENT,4.0,PERSONAL,C,3000,13.85,0,0.09,N,3,20-29
35000,RENT,5.0,EDUCATION,B,3000,10.01,0,0.09,N,2,20-29
29244,RENT,0.0,DEBTCONSOLIDATION,D,3000,13.3,1,0.1,Y,2,20-29
35256,RENT,2.0,DEBTCONSOLIDATION,B,3000,10.74,0,0.09,N,2,20-29
36000,RENT,0.0,PERSONAL,B,3000,11.71,0,0.08,N,3,20-29
36000,RENT,0.0,MEDICAL,A,3000,7.29,0,0.08,N,3,20-29
36000,RENT,3.0,EDUCATION,A,3000,7.88,0,0.08,N,4,20-29
36000,RENT,0.0,EDUCATION,C,3000,13.92,0,0.08,Y,3,20-29
33000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,3000,14.35,0,0.09,Y,3,20-29
36600,RENT,4.0,DEBTCONSOLIDATION,B,3000,9.33,0,0.08,N,2,20-29
37000,RENT,2.0,MEDICAL,B,3000,11.71,0,0.08,N,2,20-29
33000,MORTGAGE,5.0,PERSONAL,B,7800,9.88,0,0.24,N,2,20-29
37000,RENT,0.0,EDUCATION,A,3000,6.39,0,0.08,N,3,20-29
31000,RENT,1.0,HOMEIMPROVEMENT,B,3000,,1,0.1,N,4,20-29
38000,RENT,2.0,EDUCATION,C,3000,13.06,0,0.08,N,4,20-29
38000,RENT,5.0,DEBTCONSOLIDATION,A,3000,7.05,0,0.08,N,4,20-29
38000,RENT,0.0,EDUCATION,C,3000,10.28,0,0.08,N,3,20-29
33000,MORTGAGE,4.0,EDUCATION,C,12500,14.26,0,0.38,N,2,20-29
33000,MORTGAGE,0.0,MEDICAL,A,8125,8.59,0,0.25,N,4,20-29
33000,MORTGAGE,4.0,EDUCATION,A,4400,8.0,0,0.13,N,3,20-29
38400,RENT,8.0,PERSONAL,E,3000,17.56,0,0.08,Y,2,20-29
38748,RENT,2.0,PERSONAL,A,3000,7.29,0,0.08,N,3,20-29
33000,MORTGAGE,3.0,VENTURE,C,4000,13.04,0,0.12,N,4,20-29
33000,RENT,2.0,MEDICAL,B,3000,11.49,1,0.09,N,3,20-29
39996,RENT,4.0,PERSONAL,C,3000,14.35,0,0.08,Y,3,20-29
33000,MORTGAGE,10.0,PERSONAL,A,7000,7.43,0,0.21,N,4,20-29
33012,OWN,2.0,EDUCATION,B,12200,10.99,0,0.37,N,4,20-29
40000,RENT,2.0,PERSONAL,C,3000,13.49,0,0.07,N,3,20-29
